sample_id,question,answer,llm_start_entities,matched_start_nodes,answer_candidates,start_in_entity_db,answer_mappable,reachable_at_2
171,What is the name of Hailey Johnson's new weekly flavor cheese?,Hazelnut Basque Roasted Cheese,"[""Flavor"", ""Cheese type"", ""Weekly release"", ""Name""]","[""FLAVOR""]","[""HAZELNUT BASQUE ROASTED CHEESE""]",1,1,1
178,Who proposes adding some outdoor games or a small water feature to the children's play areain the community discussion?,Thrall,"[""Playgrounds"", ""Sports"", ""Fountains"", ""Rainwater"", ""Community meetings"", ""Public spaces""]","[""COMMUNITY MEETINGS"", ""PUBLIC SPACES""]","[""THRALL""]",1,1,1
179,Who proposes adding picnic tables for families to enjoy some snacks after playing?,Li Hua,"[""Table proposals"", ""Family enjoyment"", ""Food items"", ""Play activities""]",[],"[""LI HUA"", ""LIHUA""]",0,1,0
180,Who proposes creating a little garden area where kids can help plant flowers or vegetables?,GromHellscream,"[""Children"", ""Planting"", ""Flowers"", ""Vegetables"", ""Community""]","[""CHILDREN"", ""COMMUNITY"", ""FLOWERS"", ""PLANTING"", ""VEGETABLES""]","[""GROM HELLSCREAM"", ""GROMHELLSCREAM""]",1,1,1
194,What song does Yuriko propose that the band can practice this weekend according to the band's discussion on 20260703?,Take Me Home Country Roads by John Denver,"[""Yuriko"", ""Band"", ""Practice schedule"", ""20260703"", ""Song""]","[""BAND"", ""YURIKO""]",[],1,0,0
195,What is the name of the song that Yuriko recommend to the band on 20260706?,Rolling in the Deep by Adele,"[""Song name"", ""Band name"", ""Date format"", ""Recommendation""]","[""RECOMMENDATION""]",[],1,0,0
206,What is Wolfgang's favorite superhero?,Iron Man,"[""Superhero"", ""Character"", ""Favorite"", ""Wolfgang""]","[""WOLFGANG""]","[""IRON MAN""]",1,1,1
207,What is LiHua's favorite superhero?,Spider-Man,"[""Superhero name"", ""Favorite character"", ""Hero identity"", ""Preferred hero""]",[],"[""SPIDER-MAN""]",0,1,0
212,Who is recommended by Jennifer to share some fitness tips in the gym group chat on 20260730?,LiHua,"[""Jennifer"", ""Fitness advice"", ""Group chat"", ""Date"", ""Recommended by""]","[""FITNESS ADVICE"", ""GROUP CHAT"", ""JENNIFER""]","[""LI HUA"", ""LIHUA""]",1,1,1
225,Who offers to help with setting up for the garage sale?,AdamSmith,"[""Garage sale setup"", ""Shopping list"", ""Decorations"", ""Items to bring"", ""Event planning""]","[""DECORATIONS"", ""EVENT PLANNING""]","[""ADAM SMITH"", ""ADAMSMITH""]",1,1,1
231,Who does Li Hua mention as their favorite character from The Witcher 3?,Geralt,"[""Character name"", ""Game title"", ""Player preference""]",[],"[""GERALT""]",0,1,0
234,Which scene stood out for Li Hua in The Witcher 3?,"The ""Battle of Kaer Morhen""","[""Game scene"", ""Character interaction"", ""Visual elements"", ""Narrative significance"", ""Player experience""]","[""PLAYER EXPERIENCE""]",[],1,0,0
241,Which upcoming PS5 exclusive game does Gavriel express curiosity about?,Ghostwire: Tokyo,"[""PS5"", ""Gavriel"", ""Game release date"", ""Exclusive content"", ""Game mechanics""]","[""GAME MECHANICS"", ""GAME RELEASE DATE"", ""GAVRIEL"", ""PS5""]","[""GHOSTWIRE: TOKYO""]",1,1,1
244,Who shared a music theory tutorial with the group?,Chae Song-hwa,"[""Music theory"", ""Tutorial"", ""Group members"", ""Sharing"", ""Educational content""]","[""MUSIC THEORY"", ""TUTORIAL""]","[""CHAE SONG-HWA"", ""CHAESONG-HWA""]",1,1,1
246,What is Kendall's relationship with Logan like according to the group's discussion?,Toxic,"[""Kendall"", ""Logan"", ""Discussion topics"", ""Relationships"", ""Social interactions""]","[""KENDALL"", ""LOGAN"", ""RELATIONSHIPS""]",[],1,0,0
255,Who is the most hateable character in Game of Thrones in Orion's opinion?,Ramsay Bolton,"[""Character analysis"", ""Hatefulness"", ""Personality traits"", ""Favorability"", ""Criticism""]","[""CHARACTER ANALYSIS""]","[""RAMSAY BOLTON""]",1,1,0
256,Who is the most hateable character in Game of Thrones in Merrick's opinion?,Cersei Lannister,"[""Character analysis"", ""Hatefulness"", ""Personality traits"", ""Opinion expression"", ""Narrative context""]","[""CHARACTER ANALYSIS"", ""NARRATIVE CONTEXT""]","[""CERSEI LANNISTER""]",1,1,0
257,What is the common interest between Li Hua and Jake Watson?,Soccer,"[""Names"", ""Relationship"", ""Shared preference""]",[],"[""SOCCER""]",0,1,0
258,What kind of songs are Li Hua and Chae Song-hwa considering adding to their playlist for babies?,Lullabies,"[""Li Hua"", ""Chae Song-hwa"", ""Adding to a playlist"", ""Songs"", ""Babies""]","[""BABIES"", ""CHAE SONG-HWA"", ""CHAESONG-HWA"", ""LI HUA"", ""LIHUA"", ""SONGS""]","[""LULLABIES""]",1,1,1
274,Who is the best midfielder in the past decade in JakeWatson's opinion?,Luka Modrić,"[""Player performance"", ""Position"", ""Evaluations"", ""Ranking"", ""Expert opinion""]","[""PLAYER PERFORMANCE""]","[""LUKA MODRIĆ""]",1,1,1
283,Who does EmilyBurnett think is a standout character in the Game of Thrones series?,Tyrion Lannister,"[""Characters"", ""Series"", ""Cast"", ""Role"", ""Performance""]","[""PERFORMANCE""]","[""TYRION LANNISTER""]",1,1,1
306,Who does JakeWatson consider the best defender in the history of FC Barcelona?,Carles Puyol,"[""FC Barcelona"", ""Defender"", ""Player performance"", ""Historical recognition"", ""Club records""]","[""DEFENDER"", ""FC BARCELONA"", ""PLAYER PERFORMANCE""]","[""CARLES PUYOL""]",1,1,1
316,Who suggests hitting Starbucks after work on 20260918?,WolfgangSchulz,"[""Date"", ""Location"", ""Action""]","[""ACTION""]","[""WOLFGANG SCHULZ"", ""WOLFGANGSCHULZ""]",1,1,1
320,Which game does LiHua mention he's been playing on 20260920?,Call of Duty: Warzone,"[""Date"", ""Game name"", ""Player""]","[""PLAYER""]","[""CALL OF DUTY: WARZONE""]",1,1,0
328,Who initiated the discussion about the community garden renovation and its benefits to local businesses?,Turalyon,"[""Community garden"", ""Renovation plans"", ""Businesses"", ""Benefits"", ""Initiators""]","[""COMMUNITY GARDEN""]","[""TURALYON""]",1,1,1
335,Who does LiHua ask for help with installing a curtain?,AdamSmith,"[""Curtain installation"", ""Tools required"", ""Instructions"", ""Person to ask""]","[""CURTAIN INSTALLATION""]","[""ADAM SMITH"", ""ADAMSMITH""]",1,1,1
338,Who will bring the tools for the curtain installation?,AdamSmith,"[""Curtain rods"", ""Hardware"", ""Screws"", ""Wires"", ""Tools kit""]",[],"[""ADAM SMITH"", ""ADAMSMITH""]",0,1,0
339,Who suggests exploring the PS5 settings for accessibility features and Game Help?,ThaneChambers,"[""Settings menu"", ""Controller customization"", ""Troubleshooting"", ""User guide"", ""System information""]",[],"[""THANECHAMBERS""]",0,1,0
340,What feature on the PS5 does Ileana praise for making switching between games smoother?,Control Center,"[""Gamepad controls"", ""DualSense controller"", ""Switching mechanics"", ""Load times"", ""Game transitions""]",[],"[""CONTROL CENTER""]",0,1,0
343,Which game is LiHua currently obsessed with for its graphics and storytelling?,God of War,"[""LiHua"", ""Game"", ""Graphics quality"", ""Storytelling elements"", ""Current preference""]","[""GAME"", ""LI HUA"", ""LIHUA""]","[""GOD OF WAR""]",1,1,1
344,What game is Helios currently playing and finds the world and gameplay mechanics stunning?,Horizon Forbidden West,"[""Current game"", ""Player experience"", ""Game design"", ""Mechanics"", ""Reception""]","[""GAME DESIGN"", ""PLAYER EXPERIENCE""]","[""HORIZON FORBIDDEN WEST""]",1,1,1
347,Which game does Helios suggest for tactical fun with a great story and character development?,Fire Emblem,"[""Helios"", ""Game title"", ""Tactical gameplay"", ""Storyline"", ""Character arcs""]","[""CHARACTER ARCS"", ""HELIOS"", ""STORYLINE"", ""TACTICAL GAMEPLAY""]","[""FIRE EMBLEM""]",1,1,1
350,Which game does Dyllan recommend for turn-based combat and art style?,Octopath Traveler,"[""Dyllan"", ""Combat mechanics"", ""Visual design"", ""Game genre"", ""Player preference""]","[""COMBAT MECHANICS"", ""DYLLAN"", ""VISUAL DESIGN""]","[""OCTOPATH TRAVELER""]",1,1,1
351,"Who is ThaneChambers' favorite character in ""Octopath Traveler""?",Primrose,"[""Character"", ""Game"", ""Player"", ""In-game content""]","[""GAME"", ""PLAYER""]","[""PRIMROSE""]",1,1,1
358,Who asks Emily if she has read The Lord of the Rings novels?,LiHua,"[""Read"", ""Ask"", ""Answer"", ""Novels""]",[],"[""LI HUA"", ""LIHUA""]",0,1,0
359,What TV series does LiHua mention that they are curious about in relation to The Lord of the Rings?,The Rings of Power,"[""Series titles"", ""Actor names"", ""Show details"", ""Episode listings"", ""Streaming platforms""]",[],"[""THE RINGS OF POWER""]",0,1,0
361,Which character does LiHua mention as their favorite and describe as inspiring?,Galadriel,"[""Character description"", ""Personal preference"", ""Inspiration""]",[],"[""GALADRIEL""]",0,1,0
368,Who initiates the suggestion to go to the grocery store after work on 20260923?,WolfgangSchulz,"[""Person"", ""Date"", ""Action"", ""Location""]","[""ACTION""]","[""WOLFGANG SCHULZ"", ""WOLFGANGSCHULZ""]",1,1,1
378,Who asks LiHua to measure the window in the basement?,AdamSmith,"[""Window measurement"", ""Basement floor"", ""Measurement tool"", ""Person asking""]","[""WINDOW MEASUREMENT""]","[""ADAM SMITH"", ""ADAMSMITH""]",1,1,1
381,Who initiates the discussion about binaural tones?,ChaeSong-hwa,"[""Tone frequency"", ""Auditory processing"", ""Speaker role"", ""Audience engagement"", ""Communication context""]","[""AUDIENCE ENGAGEMENT""]","[""CHAE SONG-HWA"", ""CHAESONG-HWA""]",1,1,0
384,Who congratulates LiHua on pushing their limits with the bench press?,JenniferMoore,"[""Weightlifting"", ""Exercise regimen"", ""Strength training"", ""Performance metrics"", ""Sportsmanship""]","[""STRENGTH TRAINING"", ""WEIGHT LIFTING"", ""WEIGHTLIFTING""]","[""JENNIFER MOORE"", ""JENNIFERMOORE""]",1,1,1
388,Who suggests going out for hot pot?,LiHua,"[""Hot pot"", ""Restaurant"", ""Dining out"", ""Friends"", ""Family""]","[""FAMILY"", ""FRIENDS"", ""HOT POT"", ""RESTAURANT""]","[""LI HUA"", ""LIHUA""]",1,1,1
389,What type of hot pot does WolfgangSchulz prefer?,Sichuan,"[""Type of hot pot"", ""Wolfgang Schulz"", ""Favorite type""]","[""WOLFGANG SCHULZ"", ""WOLFGANGSCHULZ""]","[""SICHUAN""]",1,1,1
391,Who comes up with the idea of picking up drinks on the way to hot pot?,LiHua,"[""Drinkers"", ""Hot pot"", ""Table manners"", ""Social etiquette"", ""Group dynamics""]","[""GROUP DYNAMICS"", ""HOT POT""]","[""LI HUA"", ""LIHUA""]",1,1,1
393,Who reminds everyone to drink water before and during the match?,JakeWatson,"[""Water intake"", ""Pre-match hydration"", ""During match hydration"", ""Sports drinks"", ""Hydration strategies""]","[""HYDRATION STRATEGIES"", ""WATER INTAKE""]","[""JAKEWATSON""]",1,1,1
399,What does Giselle remind everyone to do before practice?,Stretch,"[""Before practice"", ""What to do"", ""Remember"", ""Instructions to follow""]",[],[],0,0,0
400,Who is considering buying Sekiro: Shadows Die Twice and asks for ThaneChambers' opinion?,LiHua,"[""Game review"", ""Player experience"", ""Character analysis"", ""Game mechanics"", ""Reviewers""]","[""CHARACTER ANALYSIS"", ""GAME MECHANICS"", ""PLAYER EXPERIENCE""]","[""LI HUA"", ""LIHUA""]",1,1,1
404,What game is ThaneChambers currently playing?,Black Myth: Wukong,"[""Game title"", ""Player name"", ""Game genre"", ""Game platform"", ""Game status""]",[],"[""BLACK MYTH: WUKONG""]",0,1,0
409,Who informs LiHua that the new software is almost done?,WolfgangSchulz,"[""Software development"", ""Team communication"", ""Project progress"", ""Notification system""]","[""SOFTWARE DEVELOPMENT"", ""TEAM COMMUNICATION""]","[""WOLFGANG SCHULZ"", ""WOLFGANGSCHULZ""]",1,1,1
411,Who asks Jake to play as the goalkeeper for soccer training?,LiHua,"[""Player position"", ""Training session"", ""Team selection"", ""Role assignment""]","[""ROLE ASSIGNMENT"", ""TRAINING SESSION""]","[""LI HUA"", ""LIHUA""]",1,1,1
413,Who discusses classic matches between Barca and Bayern with Jake?,LiHua,"[""Match history"", ""Player interactions"", ""Fan discussions"", ""Live commentary""]","[""FAN DISCUSSIONS"", ""PLAYER INTERACTIONS""]","[""LI HUA"", ""LIHUA""]",1,1,1
416,Who does Jake believe has the potential to be a game-changer for Barca?,Pedri,"[""Team members"", ""Players"", ""Strategies"", ""Success"", ""Leadership""]","[""LEADERSHIP""]","[""PEDRI""]",1,1,0
420,Who does LiHua pick as the best football manager of all time?,Pep Guardiola,"[""Football clubs"", ""Manager rankings"", ""Player performance"", ""Cultural influence"", ""Legacy""]","[""LEGACY"", ""PLAYER PERFORMANCE""]","[""PEP GUARDIOLA""]",1,1,1
422,"Which team's style of play does Farrah remember as ""Total football""?",Barcelona,"[""Football style"", ""Team strategy"", ""Player recall"", ""Game tactics""]","[""GAME TACTICS"", ""TEAM STRATEGY""]","[""BARCELONA""]",1,1,1
423,What playing style is associated with Guardiola's Barcelona team?,Tiki-taka,"[""Tiki-Taka"", ""Set pieces"", ""Pressing"", ""Defensive structure"", ""Ball control""]","[""BALL CONTROL"", ""DEFENSIVE STRUCTURE"", ""PRESSING"", ""SET PIECES"", ""TIKI-TAKA""]","[""TIKI-TAKA""]",1,1,1
424,Which player's development under Guardiola does Jasper mention?,Phil Foden,"[""Player"", ""Coach"", ""Development under a coach"", ""Jasper's mention""]","[""PLAYER""]","[""PHIL FODEN""]",1,1,0
425,What player's midfield importance does Aurora highlight?,Rodri,"[""Midfielder"", ""Positional importance"", ""Team formation"", ""Game analysis"", ""Player role""]","[""GAME ANALYSIS"", ""MIDFIELDER"", ""TEAM FORMATION""]","[""RODRI""]",1,1,0
426,Who will bring cones for drills at the match?,Farrah,"[""Players"", ""Equipment supply"", ""Match preparation"", ""Drill execution""]","[""DRILL EXECUTION"", ""MATCH PREPARATION""]","[""FARRAH""]",1,1,1
428,What will LiHua bring for everyone to enjoy after the match?,Snacks,"[""Gifts"", ""Food"", ""Drinks"", ""Games"", ""Activities""]","[""DRINKS"", ""FOOD"", ""GAMES""]","[""SNACKS""]",1,1,1
429,Which match does Jasper mention that Manchester City played recently?,Against Chelsea in the Premier League,"[""Match details"", ""Player performance"", ""Team strategy"", ""Game outcome""]","[""GAME OUTCOME"", ""PLAYER PERFORMANCE"", ""TEAM STRATEGY""]",[],1,0,0
430,Who scored a stunner in the Manchester City vs. Chelsea match as mentioned in the conversation?,Phil Foden,"[""Player"", ""Goal"", ""Score"", ""Match result"", ""Team""]","[""GOAL"", ""PLAYER"", ""TEAM""]","[""PHIL FODEN""]",1,1,1
433,Who checks in with LiHua about their arm muscles after the bench press session?,JenniferMoore,"[""Check-in frequency"", ""Muscle strength"", ""Post-exercise recovery"", ""Exercise routine"", ""Physical fitness""]","[""EXERCISE ROUTINE"", ""MUSCLE STRENGTH"", ""PHYSICAL FITNESS""]","[""JENNIFER MOORE"", ""JENNIFERMOORE""]",1,1,1
435,What snack does LiHua agree to bring for the movie?,Chips,"[""Snack type"", ""LiHua's preference"", ""Movie attendance"", ""Consent""]",[],"[""CHIPS""]",0,1,0
437,Who will pick up the snacks and drinks on their way before the movie?,LiHua,"[""Snack distribution"", ""Drink service"", ""Route planning"", ""Luggage handling"", ""Crowd management""]",[],"[""LI HUA"", ""LIHUA""]",0,1,0
438,Who initiated the discussion about Cersei's journey in Game of Thrones?,EmilyBurnett,"[""Cersei"", ""Game of Thrones series"", ""Discussion"", ""Initiation""]","[""CERSEI"", ""DISCUSSION"", ""GAME OF THRONES (SERIES)""]","[""EMILY BURNETT"", ""EMILYBURNETT""]",1,1,1
441,Which character's dynamic with Cersei is mentioned as complicated?,Jaime,"[""Character development"", ""Relationship dynamics"", ""Cersei's behavior"", ""Interpersonal interactions""]","[""CHARACTER DEVELOPMENT"", ""RELATIONSHIP DYNAMICS""]","[""JAIME""]",1,1,1
456,Who initiates the discussion about game storytelling?,ThaneChambers,"[""Player interaction"", ""Storytelling elements"", ""Dialogue"", ""Character development"", ""Plot progression""]","[""CHARACTER DEVELOPMENT"", ""PLAYER INTERACTION""]","[""THANECHAMBERS""]",1,1,1
457,What game does ThaneChambers consider their top choice for storytelling?,The Last of Us,"[""Game titles"", ""Storytelling elements"", ""Player preferences"", ""Era or genre""]",[],"[""THE LAST OF US""]",0,1,0
458,Which game's narrative does Bronwyn appreciate for its father-son dynamic?,God of War,"[""Game"", ""Narrative"", ""Father"", ""Son"", ""Dynamic"", ""Appreciation""]","[""GAME"", ""NARRATIVE""]","[""GOD OF WAR""]",1,1,1
459,What game does Gavriel mention for its characters and plot twists?,Final Fantasy VII Remake,"[""Gavriel"", ""Game details"", ""Character development"", ""Plot structure""]","[""CHARACTER DEVELOPMENT"", ""GAVRIEL""]","[""FINAL FANTASY VII REMAKE""]",1,1,1
461,What game does Elara mention for making her emotional?,Bioshock Infinite,"[""Game"", ""Emotion"", ""Player experience"", ""Character development"", ""Storyline""]","[""CHARACTER DEVELOPMENT"", ""EMOTION"", ""GAME"", ""PLAYER EXPERIENCE"", ""STORYLINE""]","[""BIOSHOCK INFINITE""]",1,1,1
463,What game does Dyllan describe as epic for its samurai culture?,Ghost of Tsushima,"[""Dyllan"", ""Game description"", ""Epic status"", ""Samurai elements"", ""Cultural context""]","[""CULTURAL CONTEXT"", ""DYLLAN""]","[""GHOST OF TSUSHIMA""]",1,1,1
469,Which game does Ileana mention for its unique world and storytelling?,Horizon Zero Dawn,"[""Ileana"", ""World-building"", ""Narrative structure"", ""Gameplay"", ""Player experience""]","[""GAMEPLAY"", ""ILEANA"", ""NARRATIVE STRUCTURE"", ""PLAYER EXPERIENCE"", ""WORLD BUILDING"", ""WORLD-BUILDING"", ""WORLDBUILDING""]","[""HORIZON ZERO DAWN""]",1,1,1
470,What game does LiHua mention for exploring themes of choice & consciousness & humanity?,Detroit: Become Human,"[""LiHua"", ""Exploring"", ""Game titles"", ""Choice scenarios"", ""Consciousness themes"", ""Humanity exploration""]","[""EXPLORING"", ""LI HUA"", ""LIHUA""]","[""DETROIT: BECOME HUMAN""]",1,1,1
471,Which game does Dyllan say raised interesting questions and moral dilemmas?,Detroit: Become Human,"[""Dyllan"", ""Gameplay mechanics"", ""Player choices"", ""Narrative themes"", ""Ethical decisions""]","[""DYLLAN"", ""GAMEPLAY MECHANICS"", ""NARRATIVE THEMES"", ""PLAYER CHOICES""]","[""DETROIT: BECOME HUMAN""]",1,1,1
472,What game does Dyllan recall for its intimate feel and dialogue?,Firewatch,"[""Recall"", ""Gameplay experience"", ""Character interaction"", ""Narrative style""]","[""GAMEPLAY EXPERIENCE"", ""NARRATIVE STYLE""]","[""FIREWATCH""]",1,1,1
473,Which game does LiHua mention for playing with various storytelling tropes?,The Stanley Parable,"[""Game titles"", ""Narrative elements"", ""Player interaction"", ""Tropes"", ""Story structure""]","[""PLAYER INTERACTION""]","[""THE STANLEY PARABLE""]",1,1,1
476,Who offers to help with the installation of the curtains?,AdamSmith,"[""Curtains"", ""Installation"", ""Service provider"", ""Tools"", ""Instructions""]","[""CURTAINS"", ""INSTALLATION"", ""TOOLS""]","[""ADAM SMITH"", ""ADAMSMITH""]",1,1,1
480,Who proposes the idea of adding tables near the benches?,RexxarRemar,"[""Benches"", ""Tables"", ""Proposer"", ""Concept"", ""Proposal""]","[""BENCHES"", ""TABLES""]","[""REXXAR REMAR"", ""REXXARREMAR""]",1,1,1
483,Who is excited to see how the garden evolves?,Thrall,"[""Garden plants"", ""Habitat"", ""Soil quality"", ""Plant growth"", ""Maintenance""]","[""MAINTENANCE""]","[""THRALL""]",1,1,1
487,Who offers to check with friends for live music performance?,ArthasMenethil,"[""Friend recommendations"", ""Social media"", ""Performance venues"", ""Event details"", ""Contact information""]",[],"[""ARTHAS MENETHIL"", ""ARTHASMENETHIL""]",0,1,0
489,Who suggests doing a group purchase of the new games?,ThaneChambers,"[""Game retailers"", ""Online marketplaces"", ""Social media platforms"", ""Customer reviews"", ""Purchase recommendations""]","[""SOCIAL MEDIA PLATFORMS""]","[""THANECHAMBERS""]",1,1,1
503,What team does JakeWatson admire for their comebacks?,Real Madrid,"[""JakeWatson"", ""Team"", ""Comebacks"", ""Fan"", ""Loyalty""]","[""JAKEWATSON"", ""LOYALTY"", ""TEAM""]","[""REAL MADRID""]",1,1,1
510,Who is Real Madrid's coach according to Ivor?,Ancelotti,"[""Coach"", ""Ivor's statement"", ""Real Madrid""]","[""REAL MADRID""]","[""ANCELOTTI""]",1,1,1
514,Who offers to bring cones for the soccer practice?,Aurora,"[""Cones"", ""Soccer"", ""Practice""]","[""CONES"", ""PRACTICE"", ""SOCCER""]","[""AURORA""]",1,1,1
516,Who suggests getting pizza for dinner?,WolfgangSchulz,"[""Restaurant"", ""Cooking"", ""Table setting"", ""Family gathering"", ""Dining experience""]","[""COOKING"", ""FAMILY GATHERING"", ""RESTAURANT""]","[""WOLFGANG SCHULZ"", ""WOLFGANGSCHULZ""]",1,1,1
520,Who invites LiHua to taste a new bread recipe?,HaileyJohnson,"[""Person"", ""Bread recipe"", ""Invitation details"", ""Tasting event"", ""Guest""]","[""BREAD RECIPE"", ""TASTING EVENT""]","[""HAILEYJOHNSON""]",1,1,1
536,What game does ThaneChambers remember as LiHua's favorite?,Black Myth: Wukong,"[""Game title"", ""Player name"", ""Favorite game""]",[],"[""BLACK MYTH: WUKONG""]",0,1,0
539,"Who is LiHua's favorite character in the game ""Black Myth: Wukong""?",Wukong,"[""Character name"", ""Game title"", ""Favorite character"", ""Game content""]",[],"[""WUKONG""]",0,1,0
543,Does LiHua play the game solo or with friends?,Both,"[""Game"", ""Friends"", ""Play mode"", ""Online play"", ""Single-player""]","[""FRIENDS"", ""GAME""]",[],1,0,0
545,What TV series does EmilyBurnett remember LiHua likes?,Chernobyl,"[""Series recommendations"", ""Viewer preferences"", ""Personal favorites"", ""Content preferences""]",[],"[""CHERNOBYL""]",0,1,0
547,What is EmilyBurnett's favorite TV show?,Game of Thrones,"[""TV show"", ""EmmyBurnett"", ""Favorite entertainment""]","[""TV SHOW""]","[""GAME OF THRONES""]",1,1,0
550,What TV series is EmilyBurnett currently watching?,The Last of Us,"[""Series title"", ""Viewer name"", ""Streaming platform"", ""Episode details"", ""Watchlist""]",[],"[""THE LAST OF US""]",0,1,0
551,What TV show does EmilyBurnett recommend LiHua to watch?,The Last of Us,"[""Show title"", ""Viewer preference"", ""Content rating"", ""Genre"", ""Episode""]","[""EPISODE""]","[""THE LAST OF US""]",1,1,0
569,What is on WolfgangSchulz's list for a future trip?,Italy,"[""Destination"", ""Itineraries"", ""Accommodation"", ""Transportation"", ""Budget""]",[],"[""ITALY""]",0,1,0
570,What does WolfgangSchulz want to check out in Italy?,Cinque Terre,"[""Country"", ""Location"", ""Action""]","[""ACTION""]","[""CINQUE TERRE""]",1,1,0
