sample_id,question,answer,llm_start_entities,matched_start_nodes,answer_candidates,start_in_entity_db,answer_mappable,reachable_at_5
225,Who offers to help with setting up for the garage sale?,AdamSmith,"[""Garage sale setup"", ""Shopping cart"", ""Decorations"", ""Items for sale"", ""Customer service""]","[""DECORATIONS""]","[""ADAM SMITH"", ""ADAMSMITH""]",1,1,1
231,Who does Li Hua mention as their favorite character from The Witcher 3?,Geralt,"[""Character name"", ""Game title"", ""Player preference""]",[],"[""GERALT""]",0,1,0
234,Which scene stood out for Li Hua in The Witcher 3?,"The ""Battle of Kaer Morhen""","[""Gameplay"", ""Character development"", ""Narrative elements"", ""Player experience"", ""Visual effects""]","[""CHARACTER DEVELOPMENT"", ""GAMEPLAY"", ""PLAYER EXPERIENCE""]",[],1,0,0
241,Which upcoming PS5 exclusive game does Gavriel express curiosity about?,Ghostwire: Tokyo,"[""PS5"", ""Game exclusives"", ""Gavriel"", ""Curiosity"", ""Game release""]","[""GAME RELEASE"", ""GAVRIEL"", ""PS5""]","[""GHOSTWIRE: TOKYO""]",1,1,1
244,Who shared a music theory tutorial with the group?,Chae Song-hwa,"[""Musician"", ""Teaching"", ""Learning"", ""Tutorial content"", ""Group members""]","[""LEARNING"", ""MUSICIAN"", ""TEACHING""]","[""CHAE SONG-HWA"", ""CHAESONG-HWA""]",1,1,1
246,What is Kendall's relationship with Logan like according to the group's discussion?,Toxic,"[""Kendall"", ""Logan"", ""Discussion topics"", ""Social interactions"", ""Relationship status""]","[""KENDALL"", ""LOGAN""]",[],1,0,0
255,Who is the most hateable character in Game of Thrones in Orion's opinion?,Ramsay Bolton,"[""Character analysis"", ""Hatefulness"", ""Personality traits"", ""Role in the series"", ""Fan opinion""]","[""CHARACTER ANALYSIS""]","[""RAMSAY BOLTON""]",1,1,1
256,Who is the most hateable character in Game of Thrones in Merrick's opinion?,Cersei Lannister,"[""Character analysis"", ""Hatefulness"", ""Game of Thrones series"", ""Merrick's perspective"", ""Character evaluation""]","[""CHARACTER ANALYSIS"", ""CHARACTER EVALUATION"", ""GAME OF THRONES (SERIES)""]","[""CERSEI LANNISTER""]",1,1,1
257,What is the common interest between Li Hua and Jake Watson?,Soccer,"[""Names"", ""Relationship"", ""Interests""]",[],"[""SOCCER""]",0,1,0
258,What kind of songs are Li Hua and Chae Song-hwa considering adding to their playlist for babies?,Lullabies,"[""Baby songs"", ""Lullabies"", ""Child's music"", ""Parental playlist"", ""Song genres""]","[""LULLABIES""]","[""LULLABIES""]",1,1,1
274,Who is the best midfielder in the past decade in JakeWatson's opinion?,Luka Modrić,"[""Midfielder"", ""Opinion"", ""Decade"", ""Player performance"", ""Rating""]","[""MIDFIELDER"", ""PLAYER PERFORMANCE""]","[""LUKA MODRIĆ""]",1,1,1
283,Who does EmilyBurnett think is a standout character in the Game of Thrones series?,Tyrion Lannister,"[""Character development"", ""Role in the story"", ""Popularity among fans"", ""Critical reception""]","[""CHARACTER DEVELOPMENT""]","[""TYRION LANNISTER""]",1,1,1
306,Who does JakeWatson consider the best defender in the history of FC Barcelona?,Carles Puyol,"[""FC Barcelona"", ""Defender"", ""Player performance"", ""Historical records"", ""Club reputation""]","[""DEFENDER"", ""FC BARCELONA"", ""PLAYER PERFORMANCE""]","[""CARLES PUYOL""]",1,1,1
316,Who suggests hitting Starbucks after work on 20260918?,WolfgangSchulz,"[""Starbucks"", ""Date"", ""Workplace""]","[""STARBUCKS"", ""WORKPLACE""]","[""WOLFGANG SCHULZ"", ""WOLFGANGSCHULZ""]",1,1,1
320,Which game does LiHua mention he's been playing on 20260920?,Call of Duty: Warzone,"[""Date"", ""Game name"", ""Player""]","[""PLAYER""]","[""CALL OF DUTY: WARZONE""]",1,1,1
328,Who initiated the discussion about the community garden renovation and its benefits to local businesses?,Turalyon,"[""Community garden"", ""Renovation process"", ""Local businesses"", ""Discussion"", ""Initiator""]","[""COMMUNITY GARDEN"", ""DISCUSSION"", ""LOCAL BUSINESSES"", ""RENOVATION PROCESS""]","[""TURALYON""]",1,1,1
335,Who does LiHua ask for help with installing a curtain?,AdamSmith,"[""Curtain installation"", ""Help request"", ""Person asking for assistance""]","[""CURTAIN INSTALLATION""]","[""ADAM SMITH"", ""ADAMSMITH""]",1,1,1
338,Who will bring the tools for the curtain installation?,AdamSmith,"[""Curtain hardware"", ""Installation tools"", ""Curtain rod"", ""Curtain hanger"", ""Curtain track""]",[],"[""ADAM SMITH"", ""ADAMSMITH""]",0,1,0
339,Who suggests exploring the PS5 settings for accessibility features and Game Help?,ThaneChambers,"[""Settings menu"", ""Controller adjustments"", ""Visual enhancements"", ""Audio settings"", ""Help documentation""]",[],"[""THANECHAMBERS""]",0,1,0
340,What feature on the PS5 does Ileana praise for making switching between games smoother?,Control Center,"[""Gamepad buttons"", ""Controller design"", ""Load times"", ""Switching mechanics"", ""User interface""]","[""USER INTERFACE""]","[""CONTROL CENTER""]",1,1,1
343,Which game is LiHua currently obsessed with for its graphics and storytelling?,God of War,"[""LiHua"", ""Game title"", ""Graphics quality"", ""Narrative structure"", ""Player engagement""]","[""LI HUA"", ""LIHUA"", ""NARRATIVE STRUCTURE"", ""PLAYER ENGAGEMENT""]","[""GOD OF WAR""]",1,1,1
344,What game is Helios currently playing and finds the world and gameplay mechanics stunning?,Horizon Forbidden West,"[""Current game"", ""Player experience"", ""Game design"", ""Mechanics"", ""User feedback""]","[""GAME DESIGN"", ""PLAYER EXPERIENCE""]","[""HORIZON FORBIDDEN WEST""]",1,1,1
347,Which game does Helios suggest for tactical fun with a great story and character development?,Fire Emblem,"[""Helios"", ""Game titles"", ""Tactical gameplay"", ""Narrative elements"", ""Character progression""]","[""HELIOS"", ""TACTICAL GAMEPLAY""]","[""FIRE EMBLEM""]",1,1,1
350,Which game does Dyllan recommend for turn-based combat and art style?,Octopath Traveler,"[""Dyllan"", ""Combat mechanics"", ""Visual style"", ""Game genres"", ""Player preference""]","[""COMBAT MECHANICS"", ""DYLLAN""]","[""OCTOPATH TRAVELER""]",1,1,1
351,"Who is ThaneChambers' favorite character in ""Octopath Traveler""?",Primrose,"[""Character development"", ""Gameplay mechanics"", ""Storyline"", ""NPC interactions"", ""Game design""]","[""CHARACTER DEVELOPMENT"", ""GAME DESIGN"", ""GAMEPLAY MECHANICS"", ""NPC INTERACTIONS"", ""STORYLINE""]","[""PRIMROSE""]",1,1,1
358,Who asks Emily if she has read The Lord of the Rings novels?,LiHua,"[""Ask"", ""Read"", ""Novels"", ""Answer""]",[],"[""LI HUA"", ""LIHUA""]",0,1,0
359,What TV series does LiHua mention that they are curious about in relation to The Lord of the Rings?,The Rings of Power,"[""Series titles"", ""Characters"", ""Plot details"", ""Production companies"", ""Streaming platforms""]",[],"[""THE RINGS OF POWER""]",0,1,0
361,Which character does LiHua mention as their favorite and describe as inspiring?,Galadriel,"[""Character description"", ""Personal preference"", ""Motivation""]","[""MOTIVATION""]","[""GALADRIEL""]",1,1,1
368,Who initiates the suggestion to go to the grocery store after work on 20260923?,WolfgangSchulz,"[""Person"", ""Date"", ""Action"", ""Location""]","[""ACTION""]","[""WOLFGANG SCHULZ"", ""WOLFGANGSCHULZ""]",1,1,1
378,Who asks LiHua to measure the window in the basement?,AdamSmith,"[""Window measurement"", ""Basement floor"", ""Measurement tool"", ""Person asking""]","[""WINDOW MEASUREMENT""]","[""ADAM SMITH"", ""ADAMSMITH""]",1,1,1
381,Who initiates the discussion about binaural tones?,ChaeSong-hwa,"[""Auditory perception"", ""Frequency modulation"", ""Brainwave activity"", ""Sound localization"", ""Auditory processing""]",[],"[""CHAE SONG-HWA"", ""CHAESONG-HWA""]",0,1,0
384,Who congratulates LiHua on pushing their limits with the bench press?,JenniferMoore,"[""Athletic training"", ""Strength training"", ""Exercise regimen"", ""Bodybuilding"", ""Workout""]","[""STRENGTH TRAINING"", ""WORKOUT""]","[""JENNIFER MOORE"", ""JENNIFERMOORE""]",1,1,1
388,Who suggests going out for hot pot?,LiHua,"[""Hot pot"", ""Restaurant"", ""Friends"", ""Family"", ""Eating out""]","[""FAMILY"", ""FRIENDS"", ""HOT POT"", ""RESTAURANT""]","[""LI HUA"", ""LIHUA""]",1,1,1
389,What type of hot pot does WolfgangSchulz prefer?,Sichuan,"[""Type of hot pot"", ""Wolfgang Schulz"", ""Personal preference""]","[""WOLFGANG SCHULZ"", ""WOLFGANGSCHULZ""]","[""SICHUAN""]",1,1,1
391,Who comes up with the idea of picking up drinks on the way to hot pot?,LiHua,"[""Drinks"", ""Hot pot"", ""Social gatherings"", ""Group activity"", ""Cultural practice""]","[""DRINKS"", ""GROUP ACTIVITY"", ""HOT POT"", ""SOCIAL GATHERINGS""]","[""LI HUA"", ""LIHUA""]",1,1,1
393,Who reminds everyone to drink water before and during the match?,JakeWatson,"[""Water intake"", ""Pre-match hydration"", ""During match hydration"", ""Sports drinks"", ""Hydration strategies""]","[""HYDRATION STRATEGIES"", ""WATER INTAKE""]","[""JAKEWATSON""]",1,1,1
399,What does Giselle remind everyone to do before practice?,Stretch,"[""Before practice"", ""What to do"", ""Instructions to follow""]",[],[],0,0,0
400,Who is considering buying Sekiro: Shadows Die Twice and asks for ThaneChambers' opinion?,LiHua,"[""Game review"", ""Player feedback"", ""Character analysis"", ""Game mechanics"", ""Reviewers""]","[""CHARACTER ANALYSIS"", ""GAME MECHANICS"", ""PLAYER FEEDBACK""]","[""LI HUA"", ""LIHUA""]",1,1,1
404,What game is ThaneChambers currently playing?,Black Myth: Wukong,"[""Game title"", ""Player name"", ""Game genre"", ""Game platform"", ""Game console""]",[],"[""BLACK MYTH: WUKONG""]",0,1,0
409,Who informs LiHua that the new software is almost done?,WolfgangSchulz,"[""Person"", ""Software status"", ""Communication""]","[""COMMUNICATION""]","[""WOLFGANG SCHULZ"", ""WOLFGANGSCHULZ""]",1,1,1
411,Who asks Jake to play as the goalkeeper for soccer training?,LiHua,"[""Player position"", ""Training session"", ""Team selection"", ""Role assignment""]","[""ROLE ASSIGNMENT"", ""TRAINING SESSION""]","[""LI HUA"", ""LIHUA""]",1,1,1
413,Who discusses classic matches between Barca and Bayern with Jake?,LiHua,"[""Match history"", ""Player performance"", ""Team rivalry"", ""Broadcasting""]","[""PLAYER PERFORMANCE""]","[""LI HUA"", ""LIHUA""]",1,1,1
416,Who does Jake believe has the potential to be a game-changer for Barca?,Pedri,"[""Players"", ""Team dynamics"", ""Strategic decisions"", ""Performance"", ""Future prospects""]","[""PERFORMANCE"", ""TEAM DYNAMICS""]","[""PEDRI""]",1,1,1
420,Who does LiHua pick as the best football manager of all time?,Pep Guardiola,"[""Manager selection"", ""Football clubs"", ""Player performance"", ""Historical context"", ""Criticisms""]","[""PLAYER PERFORMANCE""]","[""PEP GUARDIOLA""]",1,1,1
422,"Which team's style of play does Farrah remember as ""Total football""?",Barcelona,"[""Football style"", ""Team strategy"", ""Player memory"", ""Game tactics""]","[""GAME TACTICS"", ""TEAM STRATEGY""]","[""BARCELONA""]",1,1,1
423,What playing style is associated with Guardiola's Barcelona team?,Tiki-taka,"[""Tiki-Taka"", ""Set pieces"", ""Defensive structure"", ""Offense"", ""Player roles""]","[""DEFENSIVE STRUCTURE"", ""PLAYER ROLES"", ""SET PIECES"", ""TIKI-TAKA""]","[""TIKI-TAKA""]",1,1,1
424,Which player's development under Guardiola does Jasper mention?,Phil Foden,"[""Player"", ""Guardiola"", ""Jasper"", ""Development under coach"", ""Tactics""]","[""GUARDIOLA"", ""JASPER"", ""PLAYER"", ""TACTICS""]","[""PHIL FODEN""]",1,1,1
425,What player's midfield importance does Aurora highlight?,Rodri,"[""Midfielder"", ""Positional importance"", ""Team tactics"", ""Player role"", ""Game strategy""]","[""GAME STRATEGY"", ""MIDFIELDER"", ""TEAM TACTICS""]","[""RODRI""]",1,1,1
426,Who will bring cones for drills at the match?,Farrah,"[""Cones"", ""Drills"", ""Match venue"", ""Equipment supply""]","[""CONES"", ""DRILLS""]","[""FARRAH""]",1,1,1
428,What will LiHua bring for everyone to enjoy after the match?,Snacks,"[""Gifts"", ""Food"", ""Drink"", ""Games"", ""Activities""]","[""FOOD"", ""GAMES""]","[""SNACKS""]",1,1,1
429,Which match does Jasper mention that Manchester City played recently?,Against Chelsea in the Premier League,"[""Match details"", ""Player performance"", ""Team strategy"", ""Result analysis""]","[""PLAYER PERFORMANCE"", ""TEAM STRATEGY""]",[],1,0,0
430,Who scored a stunner in the Manchester City vs. Chelsea match as mentioned in the conversation?,Phil Foden,"[""Player"", ""Goal"", ""Match result"", ""Score"", ""Team""]","[""GOAL"", ""PLAYER"", ""TEAM""]","[""PHIL FODEN""]",1,1,1
433,Who checks in with LiHua about their arm muscles after the bench press session?,JenniferMoore,"[""Check-in process"", ""Muscle recovery"", ""Exercise routine"", ""Post-workout care""]","[""EXERCISE ROUTINE"", ""MUSCLE RECOVERY"", ""POST-WORKOUT CARE""]","[""JENNIFER MOORE"", ""JENNIFERMOORE""]",1,1,1
435,What snack does LiHua agree to bring for the movie?,Chips,"[""Snack type"", ""Movie title"", ""LiHua's preference"", ""Consent""]",[],"[""CHIPS""]",0,1,0
437,Who will pick up the snacks and drinks on their way before the movie?,LiHua,"[""Snack distribution"", ""Drink service"", ""Route planning"", ""Customer service"", ""Event logistics""]",[],"[""LI HUA"", ""LIHUA""]",0,1,0
438,Who initiated the discussion about Cersei's journey in Game of Thrones?,EmilyBurnett,"[""Episode details"", ""Dialogue"", ""Character motivations"", ""Plot progression"", ""Themes""]","[""CHARACTER MOTIVATIONS""]","[""EMILY BURNETT"", ""EMILYBURNETT""]",1,1,1
441,Which character's dynamic with Cersei is mentioned as complicated?,Jaime,"[""Character development"", ""Relationship dynamics"", ""Cersei's behavior"", ""Interactions with Cersei""]","[""CHARACTER DEVELOPMENT"", ""RELATIONSHIP DYNAMICS""]","[""JAIME""]",1,1,1
456,Who initiates the discussion about game storytelling?,ThaneChambers,"[""Game designers"", ""Players"", ""Storytelling elements"", ""Dialogue"", ""Character development""]","[""CHARACTER DEVELOPMENT""]","[""THANECHAMBERS""]",1,1,1
457,What game does ThaneChambers consider their top choice for storytelling?,The Last of Us,"[""Game titles"", ""Storytelling elements"", ""Player preferences"", ""Developer reputation"", ""Game genres""]",[],"[""THE LAST OF US""]",0,1,0
458,Which game's narrative does Bronwyn appreciate for its father-son dynamic?,God of War,"[""Bronwyn"", ""Game"", ""Narrative"", ""Father-son relationship"", ""Appreciation""]","[""BRONWYN"", ""FATHER-SON RELATIONSHIP"", ""GAME"", ""NARRATIVE""]","[""GOD OF WAR""]",1,1,1
459,What game does Gavriel mention for its characters and plot twists?,Final Fantasy VII Remake,"[""Gavriel"", ""Game mechanics"", ""Storyline"", ""Character development"", ""Twists and turns""]","[""CHARACTER DEVELOPMENT"", ""GAME MECHANICS"", ""GAVRIEL"", ""STORYLINE""]","[""FINAL FANTASY VII REMAKE""]",1,1,1
461,What game does Elara mention for making her emotional?,Bioshock Infinite,"[""Make her emotional"", ""Game recommendation"", ""Emotion"", ""Player experience""]","[""EMOTION"", ""GAME RECOMMENDATION"", ""PLAYER EXPERIENCE""]","[""BIOSHOCK INFINITE""]",1,1,1
463,What game does Dyllan describe as epic for its samurai culture?,Ghost of Tsushima,"[""Dyllan"", ""Game description"", ""Epic status"", ""Samurai elements"", ""Cultural significance""]","[""DYLLAN""]","[""GHOST OF TSUSHIMA""]",1,1,1
469,Which game does Ileana mention for its unique world and storytelling?,Horizon Zero Dawn,"[""Ileana"", ""Worldbuilding"", ""Narrative structure"", ""Game mechanics""]","[""GAME MECHANICS"", ""ILEANA"", ""NARRATIVE STRUCTURE"", ""WORLD BUILDING"", ""WORLD-BUILDING"", ""WORLDBUILDING""]","[""HORIZON ZERO DAWN""]",1,1,1
470,What game does LiHua mention for exploring themes of choice & consciousness & humanity?,Detroit: Become Human,"[""LiHua"", ""Exploring themes"", ""Game titles"", ""Choice mechanics"", ""Consciousness simulation"", ""Humanity portrayal""]","[""LI HUA"", ""LIHUA""]","[""DETROIT: BECOME HUMAN""]",1,1,1
471,Which game does Dyllan say raised interesting questions and moral dilemmas?,Detroit: Become Human,"[""Dyllan"", ""Gameplay mechanics"", ""Storylines"", ""Character choices"", ""Player decisions""]","[""CHARACTER CHOICES"", ""DYLLAN"", ""GAMEPLAY MECHANICS"", ""PLAYER DECISIONS""]","[""DETROIT: BECOME HUMAN""]",1,1,1
472,What game does Dyllan recall for its intimate feel and dialogue?,Firewatch,"[""Recall"", ""Emotional depth"", ""Speech patterns"", ""Narrative structure""]","[""EMOTIONAL DEPTH"", ""NARRATIVE STRUCTURE""]","[""FIREWATCH""]",1,1,1
473,Which game does LiHua mention for playing with various storytelling tropes?,The Stanley Parable,"[""Game title"", ""Storytelling elements"", ""Player interaction"", ""Narrative structure""]","[""NARRATIVE STRUCTURE"", ""PLAYER INTERACTION""]","[""THE STANLEY PARABLE""]",1,1,1
476,Who offers to help with the installation of the curtains?,AdamSmith,"[""Curtains"", ""Installation"", ""Service provider"", ""Help"", ""Process""]","[""CURTAINS"", ""INSTALLATION""]","[""ADAM SMITH"", ""ADAMSMITH""]",1,1,1
480,Who proposes the idea of adding tables near the benches?,RexxarRemar,"[""Benches"", ""Tables"", ""Proposer"", ""Concept"", ""Proposal""]","[""BENCHES"", ""TABLES""]","[""REXXAR REMAR"", ""REXXARREMAR""]",1,1,1
483,Who is excited to see how the garden evolves?,Thrall,"[""Gardener"", ""Planting"", ""Maintenance"", ""Decorative elements"", ""Aesthetic appeal""]","[""MAINTENANCE"", ""PLANTING""]","[""THRALL""]",1,1,1
487,Who offers to check with friends for live music performance?,ArthasMenethil,"[""Friend recommendations"", ""Online platforms"", ""Performance verification"", ""Social media""]",[],"[""ARTHAS MENETHIL"", ""ARTHASMENETHIL""]",0,1,0
489,Who suggests doing a group purchase of the new games?,ThaneChambers,"[""Group buying"", ""Game purchases"", ""Recommendations"", ""Online shopping"", ""E-commerce""]",[],"[""THANECHAMBERS""]",0,1,0
503,What team does JakeWatson admire for their comebacks?,Real Madrid,"[""JakeWatson"", ""Team"", ""Comebacks"", ""Fan"", ""Loyalty""]","[""JAKEWATSON"", ""LOYALTY"", ""TEAM""]","[""REAL MADRID""]",1,1,1
510,Who is Real Madrid's coach according to Ivor?,Ancelotti,"[""Coach"", ""Ivor's statement"", ""Real Madrid""]","[""REAL MADRID""]","[""ANCELOTTI""]",1,1,1
514,Who offers to bring cones for the soccer practice?,Aurora,"[""Cones"", ""Soccer"", ""Practice"", ""Bring"", ""Participants""]","[""CONES"", ""PRACTICE"", ""SOCCER""]","[""AURORA""]",1,1,1
516,Who suggests getting pizza for dinner?,WolfgangSchulz,"[""Restaurant"", ""Takeout"", ""Delivery"", ""Cooking"", ""Eating""]","[""COOKING"", ""DELIVERY"", ""RESTAURANT""]","[""WOLFGANG SCHULZ"", ""WOLFGANGSCHULZ""]",1,1,1
520,Who invites LiHua to taste a new bread recipe?,HaileyJohnson,"[""Person"", ""Bread recipe"", ""Guest"", ""Event"", ""Inviter""]","[""BREAD RECIPE""]","[""HAILEYJOHNSON""]",1,1,1
536,What game does ThaneChambers remember as LiHua's favorite?,Black Myth: Wukong,"[""Game title"", ""Player name"", ""Favorite game""]",[],"[""BLACK MYTH: WUKONG""]",0,1,0
539,"Who is LiHua's favorite character in the game ""Black Myth: Wukong""?",Wukong,"[""Wukong"", ""Monkey King"", ""Gameplay mechanics"", ""Character design"", ""Game environment""]","[""CHARACTER DESIGN"", ""GAME ENVIRONMENT"", ""GAMEPLAY MECHANICS"", ""WUKONG""]","[""WUKONG""]",1,1,1
543,Does LiHua play the game solo or with friends?,Both,"[""Game"", ""Friends"", ""Play mode"", ""Player count"", ""Game session""]","[""FRIENDS"", ""GAME""]",[],1,0,0
545,What TV series does EmilyBurnett remember LiHua likes?,Chernobyl,"[""Series recommendation"", ""Favorite show"", ""Viewer preferences"", ""Personal preference""]",[],"[""CHERNOBYL""]",0,1,0
547,What is EmilyBurnett's favorite TV show?,Game of Thrones,"[""Show title"", ""TV networks"", ""Streaming platforms"", ""Viewership""]",[],"[""GAME OF THRONES""]",0,1,0
550,What TV series is EmilyBurnett currently watching?,The Last of Us,"[""Series name"", ""Viewer"", ""Streaming platform"", ""Episode"", ""Content""]","[""EPISODE""]","[""THE LAST OF US""]",1,1,0
551,What TV show does EmilyBurnett recommend LiHua to watch?,The Last of Us,"[""Show title"", ""Viewer preference"", ""Recommended content"", ""User recommendation""]",[],"[""THE LAST OF US""]",0,1,0
569,What is on WolfgangSchulz's list for a future trip?,Italy,"[""Destination"", ""Itinerary"", ""Budget"", ""Accommodation"", ""Transportation"", ""Activities""]",[],"[""ITALY""]",0,1,0
570,What does WolfgangSchulz want to check out in Italy?,Cinque Terre,"[""Country"", ""Location"", ""Action"", ""Purpose""]","[""ACTION""]","[""CINQUE TERRE""]",1,1,1
