metric,metric_zh,relation_type,value
unique_entities_per_relation,每种关系连接的唯一实体数,"""professional interest",2
unique_entities_per_relation,每种关系连接的唯一实体数,"""promotion",2
unique_entities_per_relation,每种关系连接的唯一实体数,"""reference",3
unique_entities_per_relation,每种关系连接的唯一实体数,"""related topics",5
unique_entities_per_relation,每种关系连接的唯一实体数,"""reminder",6
unique_entities_per_relation,每种关系连接的唯一实体数,"""request",5
unique_entities_per_relation,每种关系连接的唯一实体数,"""responsibility",2
unique_entities_per_relation,每种关系连接的唯一实体数,"""scheduling",3
unique_entities_per_relation,每种关系连接的唯一实体数,"""service offer",2
unique_entities_per_relation,每种关系连接的唯一实体数,"""shared goal",2
unique_entities_per_relation,每种关系连接的唯一实体数,"""shared interest",3
unique_entities_per_relation,每种关系连接的唯一实体数,"""shopping",2
unique_entities_per_relation,每种关系连接的唯一实体数,"""social",2
unique_entities_per_relation,每种关系连接的唯一实体数,"""social interaction",5
unique_entities_per_relation,每种关系连接的唯一实体数,"""social plan",2
unique_entities_per_relation,每种关系连接的唯一实体数,"""solution",2
unique_entities_per_relation,每种关系连接的唯一实体数,"""song choice",4
unique_entities_per_relation,每种关系连接的唯一实体数,"""song selection",2
unique_entities_per_relation,每种关系连接的唯一实体数,"""source",2
unique_entities_per_relation,每种关系连接的唯一实体数,"""sports",3
unique_entities_per_relation,每种关系连接的唯一实体数,"""stress relief",2
unique_entities_per_relation,每种关系连接的唯一实体数,"""suggestion",8
unique_entities_per_relation,每种关系连接的唯一实体数,"""support",6
unique_entities_per_relation,每种关系连接的唯一实体数,"""teaching",2
unique_entities_per_relation,每种关系连接的唯一实体数,"""transaction",3
unique_entities_per_relation,每种关系连接的唯一实体数,"""travel",2
unique_entities_per_relation,每种关系连接的唯一实体数,"""treatment",2
unique_entities_per_relation,每种关系连接的唯一实体数,"""user",2
unique_entities_per_relation,每种关系连接的唯一实体数,"""work on song",2
unique_entities_per_relation,每种关系连接的唯一实体数,"""workout discussion",3
unique_entities_per_relation,每种关系连接的唯一实体数,"""workout location",3
unique_entities_per_relation,每种关系连接的唯一实体数,"""workout plan",2
unique_entities_per_relation,每种关系连接的唯一实体数,"""workout preferences",3
unique_entities_per_relation,每种关系连接的唯一实体数,"""workout preparation",2
unique_entities_per_relation,每种关系连接的唯一实体数,"""workout session",2
unique_entities_per_relation,每种关系连接的唯一实体数,"""workout technique",2
unique_entities_per_relation,每种关系连接的唯一实体数,"""workplace",2
unique_entities_per_relation,每种关系连接的唯一实体数,2014 World Cup is a significant event in Messi's career,2
unique_entities_per_relation,每种关系连接的唯一实体数,20261127_17:00,2
unique_entities_per_relation,每种关系连接的唯一实体数,"AI Robots""",2
unique_entities_per_relation,每种关系连接的唯一实体数,AdamSmith,2
unique_entities_per_relation,每种关系连接的唯一实体数,AdamSmith is a person who is discussing air conditioner options with Li Hua.,2
unique_entities_per_relation,每种关系连接的唯一实体数,AdamSmith is a person who is involved in the playground equipment installation project and contributes ideas for the project.,2
unique_entities_per_relation,每种关系连接的唯一实体数,"AdamSmith""",4
unique_entities_per_relation,每种关系连接的唯一实体数,Alex,4
unique_entities_per_relation,每种关系连接的唯一实体数,"Alex""",5
unique_entities_per_relation,每种关系连接的唯一实体数,Amalfi Coast,2
unique_entities_per_relation,每种关系连接的唯一实体数,"Big Bang Theory""",2
unique_entities_per_relation,每种关系连接的唯一实体数,"Breach""",2
unique_entities_per_relation,每种关系连接的唯一实体数,"Bronwyn""",2
unique_entities_per_relation,每种关系连接的唯一实体数,ChaeSong-hwa is a person who is part of a group planning a music jam session.,2
unique_entities_per_relation,每种关系连接的唯一实体数,Community,2
unique_entities_per_relation,每种关系连接的唯一实体数,Community Garden,2
unique_entities_per_relation,每种关系连接的唯一实体数,Death Stranding,2
unique_entities_per_relation,每种关系连接的唯一实体数,EmilyBurnett,2
unique_entities_per_relation,每种关系连接的唯一实体数,"Garden Renovation""",2
unique_entities_per_relation,每种关系连接的唯一实体数,Gym,2
unique_entities_per_relation,每种关系连接的唯一实体数,Helios,2
unique_entities_per_relation,每种关系连接的唯一实体数,"Hike""",2
unique_entities_per_relation,每种关系连接的唯一实体数,JakeWatson,2
unique_entities_per_relation,每种关系连接的唯一实体数,Jasper recommends the 2005 final between Liverpool and AC Milan as a classic match.,2
unique_entities_per_relation,每种关系连接的唯一实体数,"Jennifer""",2
unique_entities_per_relation,每种关系连接的唯一实体数,JenniferMoore,4
unique_entities_per_relation,每种关系连接的唯一实体数,JenniferMoore is a fitness coach who reminds her clients to check in with her about their fitness progress and offers personalized advice.,2
unique_entities_per_relation,每种关系连接的唯一实体数,JenniferMoore is a person who recommends ladder drills and shares tips for keeping workouts fresh and fun.,2
unique_entities_per_relation,每种关系连接的唯一实体数,"JenniferMoore""",4
unique_entities_per_relation,每种关系连接的唯一实体数,John,2
unique_entities_per_relation,每种关系连接的唯一实体数,"John Denver""",2
unique_entities_per_relation,每种关系连接的唯一实体数,LiHua,2
unique_entities_per_relation,每种关系连接的唯一实体数,LiHua is a participant in a discussion about games with stunning visuals.,2
unique_entities_per_relation,每种关系连接的唯一实体数,"LiHua""",3
unique_entities_per_relation,每种关系连接的唯一实体数,"Overwatch 3""",2
unique_entities_per_relation,每种关系连接的唯一实体数,Project,2
unique_entities_per_relation,每种关系连接的唯一实体数,"Quillan""",2
unique_entities_per_relation,每种关系连接的唯一实体数,Rush is a band known for Neil Peart's drumming.,2
unique_entities_per_relation,每种关系连接的唯一实体数,"Saffron""",2
unique_entities_per_relation,每种关系连接的唯一实体数,"Sage""",2
unique_entities_per_relation,每种关系连接的唯一实体数,Sam Rivera is a member of a team working on communicating with an unknown intelligence,3
unique_entities_per_relation,每种关系连接的唯一实体数,"Smith""",2
unique_entities_per_relation,每种关系连接的唯一实体数,Sunday,2
unique_entities_per_relation,每种关系连接的唯一实体数,Sunday is the day when LiHua and WolfgangSchulz plan to have their music jam.,2
unique_entities_per_relation,每种关系连接的唯一实体数,TV show discussion,3
unique_entities_per_relation,每种关系连接的唯一实体数,"TV show discussion""",3
unique_entities_per_relation,每种关系连接的唯一实体数,TV show discussions,2
unique_entities_per_relation,每种关系连接的唯一实体数,TV show interest,7
unique_entities_per_relation,每种关系连接的唯一实体数,"TV show interest""",3
unique_entities_per_relation,每种关系连接的唯一实体数,TV show recommendation,3
unique_entities_per_relation,每种关系连接的唯一实体数,ThaneChambers,2
unique_entities_per_relation,每种关系连接的唯一实体数,The timestamp indicates the time when the conversation between HaileyJohnson and LiHua took place.,2
unique_entities_per_relation,每种关系连接的唯一实体数,Viper,2
unique_entities_per_relation,每种关系连接的唯一实体数,"Viva la Vida""",2
unique_entities_per_relation,每种关系连接的唯一实体数,Westeros,2
unique_entities_per_relation,每种关系连接的唯一实体数,"WolfgangSchulz""",6
unique_entities_per_relation,每种关系连接的唯一实体数,World Cup,2
unique_entities_per_relation,每种关系连接的唯一实体数,absence,3
unique_entities_per_relation,每种关系连接的唯一实体数,acceptance,2
unique_entities_per_relation,每种关系连接的唯一实体数,achievement,4
unique_entities_per_relation,每种关系连接的唯一实体数,acquisition,2
unique_entities_per_relation,每种关系连接的唯一实体数,act of appreciation,2
unique_entities_per_relation,每种关系连接的唯一实体数,act of kindness,2
unique_entities_per_relation,每种关系连接的唯一实体数,activity,28
unique_entities_per_relation,每种关系连接的唯一实体数,activity context,2
unique_entities_per_relation,每种关系连接的唯一实体数,activity focus,6
unique_entities_per_relation,每种关系连接的唯一实体数,activity location,5
unique_entities_per_relation,每种关系连接的唯一实体数,activity planning,2
unique_entities_per_relation,每种关系连接的唯一实体数,adherence,2
unique_entities_per_relation,每种关系连接的唯一实体数,admiration,4
unique_entities_per_relation,每种关系连接的唯一实体数,advice,9
unique_entities_per_relation,每种关系连接的唯一实体数,aesthetics,2
unique_entities_per_relation,每种关系连接的唯一实体数,"ag(""entity",2
unique_entities_per_relation,每种关系连接的唯一实体数,agreement,53
unique_entities_per_relation,每种关系连接的唯一实体数,agrees to location,2
unique_entities_per_relation,每种关系连接的唯一实体数,agrees to plan,2
unique_entities_per_relation,每种关系连接的唯一实体数,alignment,6
unique_entities_per_relation,每种关系连接的唯一实体数,alliances,2
unique_entities_per_relation,每种关系连接的唯一实体数,alternative,3
unique_entities_per_relation,每种关系连接的唯一实体数,ambition,2
unique_entities_per_relation,每种关系连接的唯一实体数,anticipation,10
unique_entities_per_relation,每种关系连接的唯一实体数,appreciation,6
unique_entities_per_relation,每种关系连接的唯一实体数,architecture,2
unique_entities_per_relation,每种关系连接的唯一实体数,arrangement,3
unique_entities_per_relation,每种关系连接的唯一实体数,artistic appreciation,2
unique_entities_per_relation,每种关系连接的唯一实体数,artistic interest,4
unique_entities_per_relation,每种关系连接的唯一实体数,artistry,4
unique_entities_per_relation,每种关系连接的唯一实体数,assignment,2
unique_entities_per_relation,每种关系连接的唯一实体数,assistance,9
unique_entities_per_relation,每种关系连接的唯一实体数,association,11
unique_entities_per_relation,每种关系连接的唯一实体数,atmosphere,5
unique_entities_per_relation,每种关系连接的唯一实体数,atmosphere enhancement,2
unique_entities_per_relation,每种关系连接的唯一实体数,attendance,12
unique_entities_per_relation,每种关系连接的唯一实体数,attending event,2
unique_entities_per_relation,每种关系连接的唯一实体数,availability,4
unique_entities_per_relation,每种关系连接的唯一实体数,awareness,9
unique_entities_per_relation,每种关系连接的唯一实体数,band,4
unique_entities_per_relation,每种关系连接的唯一实体数,band member,4
unique_entities_per_relation,每种关系连接的唯一实体数,band membership,5
unique_entities_per_relation,每种关系连接的唯一实体数,band music,2
unique_entities_per_relation,每种关系连接的唯一实体数,band organization,3
unique_entities_per_relation,每种关系连接的唯一实体数,bandmates,2
unique_entities_per_relation,每种关系连接的唯一实体数,beach scenery,2
unique_entities_per_relation,每种关系连接的唯一实体数,beauty,2
unique_entities_per_relation,每种关系连接的唯一实体数,behavior,2
unique_entities_per_relation,每种关系连接的唯一实体数,beneficiary,3
unique_entities_per_relation,每种关系连接的唯一实体数,benefit,2
unique_entities_per_relation,每种关系连接的唯一实体数,benefits,3
unique_entities_per_relation,每种关系连接的唯一实体数,betrayal,2
unique_entities_per_relation,每种关系连接的唯一实体数,brainstorming,4
unique_entities_per_relation,每种关系连接的唯一实体数,break,3
unique_entities_per_relation,每种关系连接的唯一实体数,business,2
unique_entities_per_relation,每种关系连接的唯一实体数,business owner,2
unique_entities_per_relation,每种关系连接的唯一实体数,business-category relationship,3
unique_entities_per_relation,每种关系连接的唯一实体数,"business-category relationship""",2
unique_entities_per_relation,每种关系连接的唯一实体数,business-event relationship,2
unique_entities_per_relation,每种关系连接的唯一实体数,buyer,2
unique_entities_per_relation,每种关系连接的唯一实体数,cardio,5
unique_entities_per_relation,每种关系连接的唯一实体数,career highlight,2
unique_entities_per_relation,每种关系连接的唯一实体数,category,15
unique_entities_per_relation,每种关系连接的唯一实体数,category inclusion,3
unique_entities_per_relation,每种关系连接的唯一实体数,category membership,2
unique_entities_per_relation,每种关系连接的唯一实体数,causality,4
unique_entities_per_relation,每种关系连接的唯一实体数,cause and effect,2
unique_entities_per_relation,每种关系连接的唯一实体数,celebration,8
unique_entities_per_relation,每种关系连接的唯一实体数,central character,2
unique_entities_per_relation,每种关系连接的唯一实体数,central star,2
unique_entities_per_relation,每种关系连接的唯一实体数,challenge,3
unique_entities_per_relation,每种关系连接的唯一实体数,challenges,2
unique_entities_per_relation,每种关系连接的唯一实体数,chaos creation,2
unique_entities_per_relation,每种关系连接的唯一实体数,character analysis,4
unique_entities_per_relation,每种关系连接的唯一实体数,character appreciation,6
unique_entities_per_relation,每种关系连接的唯一实体数,character connection,2
unique_entities_per_relation,每种关系连接的唯一实体数,character connections,3
unique_entities_per_relation,每种关系连接的唯一实体数,character contrast,2
unique_entities_per_relation,每种关系连接的唯一实体数,character depth,2
unique_entities_per_relation,每种关系连接的唯一实体数,character development,7
unique_entities_per_relation,每种关系连接的唯一实体数,character dynamics,2
unique_entities_per_relation,每种关系连接的唯一实体数,character integration,2
unique_entities_per_relation,每种关系连接的唯一实体数,character relationship,2
unique_entities_per_relation,每种关系连接的唯一实体数,character relationships,2
unique_entities_per_relation,每种关系连接的唯一实体数,check-in,2
unique_entities_per_relation,每种关系连接的唯一实体数,choice,4
unique_entities_per_relation,每种关系连接的唯一实体数,class change,2
unique_entities_per_relation,每种关系连接的唯一实体数,client relationship,2
unique_entities_per_relation,每种关系连接的唯一实体数,coach-team relationship,2
unique_entities_per_relation,每种关系连接的唯一实体数,coaching,5
unique_entities_per_relation,每种关系连接的唯一实体数,collaboration,60
unique_entities_per_relation,每种关系连接的唯一实体数,collective action,2
unique_entities_per_relation,每种关系连接的唯一实体数,collegial,2
unique_entities_per_relation,每种关系连接的唯一实体数,common belief,3
unique_entities_per_relation,每种关系连接的唯一实体数,common interest,13
unique_entities_per_relation,每种关系连接的唯一实体数,common interests,2
unique_entities_per_relation,每种关系连接的唯一实体数,communication,10
unique_entities_per_relation,每种关系连接的唯一实体数,community,2
unique_entities_per_relation,每种关系连接的唯一实体数,community building,2
unique_entities_per_relation,每种关系连接的唯一实体数,community development,2
unique_entities_per_relation,每种关系连接的唯一实体数,community engagement,2
unique_entities_per_relation,每种关系连接的唯一实体数,community focus,2
unique_entities_per_relation,每种关系连接的唯一实体数,community impact,3
unique_entities_per_relation,每种关系连接的唯一实体数,community involvement,6
unique_entities_per_relation,每种关系连接的唯一实体数,community participation,2
unique_entities_per_relation,每种关系连接的唯一实体数,community spirit,2
unique_entities_per_relation,每种关系连接的唯一实体数,competition,6
unique_entities_per_relation,每种关系连接的唯一实体数,complementary pairing,2
unique_entities_per_relation,每种关系连接的唯一实体数,complexity,2
unique_entities_per_relation,每种关系连接的唯一实体数,concept,2
unique_entities_per_relation,每种关系连接的唯一实体数,concern,10
unique_entities_per_relation,每种关系连接的唯一实体数,confidence,2
unique_entities_per_relation,每种关系连接的唯一实体数,conflict resolution,2
unique_entities_per_relation,每种关系连接的唯一实体数,connectivity,2
unique_entities_per_relation,每种关系连接的唯一实体数,consideration,8
unique_entities_per_relation,每种关系连接的唯一实体数,console,2
unique_entities_per_relation,每种关系连接的唯一实体数,content,2
unique_entities_per_relation,每种关系连接的唯一实体数,content development,2
unique_entities_per_relation,每种关系连接的唯一实体数,contract renewal,2
unique_entities_per_relation,每种关系连接的唯一实体数,contrast,2
unique_entities_per_relation,每种关系连接的唯一实体数,contribution,6
unique_entities_per_relation,每种关系连接的唯一实体数,conversation,10
unique_entities_per_relation,每种关系连接的唯一实体数,conversations,2
unique_entities_per_relation,每种关系连接的唯一实体数,cooperation,2
unique_entities_per_relation,每种关系连接的唯一实体数,coordination,4
unique_entities_per_relation,每种关系连接的唯一实体数,core activity,2
unique_entities_per_relation,每种关系连接的唯一实体数,correlation,7
unique_entities_per_relation,每种关系连接的唯一实体数,culinary interest,2
unique_entities_per_relation,每种关系连接的唯一实体数,cultural celebration,2
unique_entities_per_relation,每种关系连接的唯一实体数,current gameplay,2
unique_entities_per_relation,每种关系连接的唯一实体数,customer,7
unique_entities_per_relation,每种关系连接的唯一实体数,customer service,2
unique_entities_per_relation,每种关系连接的唯一实体数,customer-business relationship,2
unique_entities_per_relation,每种关系连接的唯一实体数,customer-owner relationship,3
unique_entities_per_relation,每种关系连接的唯一实体数,customer-provider,2
unique_entities_per_relation,每种关系连接的唯一实体数,data collection,2
unique_entities_per_relation,每种关系连接的唯一实体数,data usage,2
unique_entities_per_relation,每种关系连接的唯一实体数,date,4
unique_entities_per_relation,每种关系连接的唯一实体数,day,2
unique_entities_per_relation,每种关系连接的唯一实体数,day of event,3
unique_entities_per_relation,每种关系连接的唯一实体数,decor,3
unique_entities_per_relation,每种关系连接的唯一实体数,delivery,7
unique_entities_per_relation,每种关系连接的唯一实体数,delivery plan,2
unique_entities_per_relation,每种关系连接的唯一实体数,delivery service,4
unique_entities_per_relation,每种关系连接的唯一实体数,delivery time,2
unique_entities_per_relation,每种关系连接的唯一实体数,details,2
unique_entities_per_relation,每种关系连接的唯一实体数,development,3
unique_entities_per_relation,每种关系连接的唯一实体数,dining experience,3
unique_entities_per_relation,每种关系连接的唯一实体数,dining plan,3
unique_entities_per_relation,每种关系连接的唯一实体数,dinner,3
unique_entities_per_relation,每种关系连接的唯一实体数,dinner plan,3
unique_entities_per_relation,每种关系连接的唯一实体数,dinner plans,2
unique_entities_per_relation,每种关系连接的唯一实体数,discount,2
unique_entities_per_relation,每种关系连接的唯一实体数,discussion,2
unique_entities_per_relation,每种关系连接的唯一实体数,disruption,3
unique_entities_per_relation,每种关系连接的唯一实体数,embracing change,2
unique_entities_per_relation,每种关系连接的唯一实体数,emotion,2
unique_entities_per_relation,每种关系连接的唯一实体数,emotional closure,2
unique_entities_per_relation,每种关系连接的唯一实体数,emotional connection,3
unique_entities_per_relation,每种关系连接的唯一实体数,emotional depth,2
unique_entities_per_relation,每种关系连接的唯一实体数,emotional impact,10
unique_entities_per_relation,每种关系连接的唯一实体数,emotional stakes,2
unique_entities_per_relation,每种关系连接的唯一实体数,emphasis,2
unique_entities_per_relation,每种关系连接的唯一实体数,employment,6
unique_entities_per_relation,每种关系连接的唯一实体数,encouragement,5
unique_entities_per_relation,每种关系连接的唯一实体数,energy,2
unique_entities_per_relation,每种关系连接的唯一实体数,engagement,7
unique_entities_per_relation,每种关系连接的唯一实体数,enjoyment,10
unique_entities_per_relation,每种关系连接的唯一实体数,entertainment,9
unique_entities_per_relation,每种关系连接的唯一实体数,enthusiasm,46
unique_entities_per_relation,每种关系连接的唯一实体数,event,7
unique_entities_per_relation,每种关系连接的唯一实体数,event attendance,2
unique_entities_per_relation,每种关系连接的唯一实体数,"event attendance""",2
unique_entities_per_relation,每种关系连接的唯一实体数,event interest,2
unique_entities_per_relation,每种关系连接的唯一实体数,event organization,6
unique_entities_per_relation,每种关系连接的唯一实体数,event participation,6
unique_entities_per_relation,每种关系连接的唯一实体数,event planning,10
unique_entities_per_relation,每种关系连接的唯一实体数,event preference,3
unique_entities_per_relation,每种关系连接的唯一实体数,event promotion,2
unique_entities_per_relation,每种关系连接的唯一实体数,event reference,3
unique_entities_per_relation,每种关系连接的唯一实体数,excitement,32
unique_entities_per_relation,每种关系连接的唯一实体数,exercise,9
unique_entities_per_relation,每种关系连接的唯一实体数,expectation,5
unique_entities_per_relation,每种关系连接的唯一实体数,expert advice,2
unique_entities_per_relation,每种关系连接的唯一实体数,expertise,6
unique_entities_per_relation,每种关系连接的唯一实体数,exploration,7
unique_entities_per_relation,每种关系连接的唯一实体数,eye care,3
unique_entities_per_relation,每种关系连接的唯一实体数,family,2
unique_entities_per_relation,每种关系连接的唯一实体数,family life,2
unique_entities_per_relation,每种关系连接的唯一实体数,fandom,3
unique_entities_per_relation,每种关系连接的唯一实体数,fans,4
unique_entities_per_relation,每种关系连接的唯一实体数,fantasy,2
unique_entities_per_relation,每种关系连接的唯一实体数,fascination,2
unique_entities_per_relation,每种关系连接的唯一实体数,favorite band,2
unique_entities_per_relation,每种关系连接的唯一实体数,favorite flavor,4
unique_entities_per_relation,每种关系连接的唯一实体数,favorite games,2
unique_entities_per_relation,每种关系连接的唯一实体数,favorite hero,4
unique_entities_per_relation,每种关系连接的唯一实体数,favorite musician,4
unique_entities_per_relation,每种关系连接的唯一实体数,favorite show,2
unique_entities_per_relation,每种关系连接的唯一实体数,feature implementation,2
unique_entities_per_relation,每种关系连接的唯一实体数,feedback,8
unique_entities_per_relation,每种关系连接的唯一实体数,financial,2
unique_entities_per_relation,每种关系连接的唯一实体数,financial impact,2
unique_entities_per_relation,每种关系连接的唯一实体数,financial matters,3
unique_entities_per_relation,每种关系连接的唯一实体数,financial transaction,2
unique_entities_per_relation,每种关系连接的唯一实体数,financial transactions,2
unique_entities_per_relation,每种关系连接的唯一实体数,fitness,10
unique_entities_per_relation,每种关系连接的唯一实体数,fitness goal,2
unique_entities_per_relation,每种关系连接的唯一实体数,fitness goals,2
unique_entities_per_relation,每种关系连接的唯一实体数,fitness interest,4
unique_entities_per_relation,每种关系连接的唯一实体数,fitness plan,4
unique_entities_per_relation,每种关系连接的唯一实体数,fitness suggestion,5
unique_entities_per_relation,每种关系连接的唯一实体数,flavor experimentation,4
unique_entities_per_relation,每种关系连接的唯一实体数,flavor preferences,6
unique_entities_per_relation,每种关系连接的唯一实体数,flexibility,3
unique_entities_per_relation,每种关系连接的唯一实体数,focus,2
unique_entities_per_relation,每种关系连接的唯一实体数,food,5
unique_entities_per_relation,每种关系连接的唯一实体数,food choice,2
unique_entities_per_relation,每种关系连接的唯一实体数,food combination,5
unique_entities_per_relation,每种关系连接的唯一实体数,food enjoyment,6
unique_entities_per_relation,每种关系连接的唯一实体数,food interest,7
unique_entities_per_relation,每种关系连接的唯一实体数,food knowledge,2
unique_entities_per_relation,每种关系连接的唯一实体数,food preference,16
unique_entities_per_relation,每种关系连接的唯一实体数,food sharing,3
unique_entities_per_relation,每种关系连接的唯一实体数,friendship,15
unique_entities_per_relation,每种关系连接的唯一实体数,frustration,2
unique_entities_per_relation,每种关系连接的唯一实体数,functionality,3
unique_entities_per_relation,每种关系连接的唯一实体数,future implications,3
unique_entities_per_relation,每种关系连接的唯一实体数,game character,2
unique_entities_per_relation,每种关系连接的唯一实体数,game comparison,2
unique_entities_per_relation,每种关系连接的唯一实体数,game discussion,2
unique_entities_per_relation,每种关系连接的唯一实体数,game experience,2
unique_entities_per_relation,每种关系连接的唯一实体数,game interest,3
unique_entities_per_relation,每种关系连接的唯一实体数,game night planning,3
unique_entities_per_relation,每种关系连接的唯一实体数,game recommendation,3
unique_entities_per_relation,每种关系连接的唯一实体数,gameplay,5
unique_entities_per_relation,每种关系连接的唯一实体数,gameplay challenge,2
unique_entities_per_relation,每种关系连接的唯一实体数,gameplay mechanics,2
unique_entities_per_relation,每种关系连接的唯一实体数,games,2
unique_entities_per_relation,每种关系连接的唯一实体数,gaming,2
unique_entities_per_relation,每种关系连接的唯一实体数,gaming experience,3
unique_entities_per_relation,每种关系连接的唯一实体数,gaming interest,2
unique_entities_per_relation,每种关系连接的唯一实体数,gaming preference,3
unique_entities_per_relation,每种关系连接的唯一实体数,gardening,4
unique_entities_per_relation,每种关系连接的唯一实体数,genre,4
unique_entities_per_relation,每种关系连接的唯一实体数,genre association,2
unique_entities_per_relation,每种关系连接的唯一实体数,gift exchange,4
unique_entities_per_relation,每种关系连接的唯一实体数,gift offer,2
unique_entities_per_relation,每种关系连接的唯一实体数,goal,5
unique_entities_per_relation,每种关系连接的唯一实体数,goal alignment,2
unique_entities_per_relation,每种关系连接的唯一实体数,goals,3
unique_entities_per_relation,每种关系连接的唯一实体数,gratitude,5
unique_entities_per_relation,每种关系连接的唯一实体数,group purchase,3
unique_entities_per_relation,每种关系连接的唯一实体数,guest,3
unique_entities_per_relation,每种关系连接的唯一实体数,guidance,2
unique_entities_per_relation,每种关系连接的唯一实体数,gym recommendation,2
unique_entities_per_relation,每种关系连接的唯一实体数,hate,2
unique_entities_per_relation,每种关系连接的唯一实体数,health,7
unique_entities_per_relation,每种关系连接的唯一实体数,health concern,2
unique_entities_per_relation,每种关系连接的唯一实体数,health maintenance,3
unique_entities_per_relation,每种关系连接的唯一实体数,health promotion,2
unique_entities_per_relation,每种关系连接的唯一实体数,help,5
unique_entities_per_relation,每种关系连接的唯一实体数,helpful relationship,3
unique_entities_per_relation,每种关系连接的唯一实体数,high stakes,2
unique_entities_per_relation,每种关系连接的唯一实体数,hilarious moments,2
unique_entities_per_relation,每种关系连接的唯一实体数,hobby,2
unique_entities_per_relation,每种关系连接的唯一实体数,holiday celebration,2
